pengaduan,kategori
"Permisi, Software komputer ruang kelas tidak berjalan normal",Software
Saya melaporkan bahwa Perangkat saya tidak bisa terhubung ke jaringan perpustakaan,Jaringan
"Permisi, Word di komputer gedung perkuliahan mengalami error",Software
"Mohon bantuan, Data KHS di akun saya belum diperbarui",Sistem Akademik
"Tolong, SIAKAD tidak bisa dibuka saat saya membuka halaman nilai",Sistem Akademik
Saya melaporkan bahwa Sistem operasi komputer laboratorium komputer mengalami error,Software
Saya melaporkan bahwa Browser di komputer perpustakaan tiba tiba berhenti,Software
"Permisi, Jadwal kuliah tidak muncul di SIAKAD",Sistem Akademik
"Mohon bantuan, Internet kampus di kampus putus putus",Jaringan
Akun saya terkunci setelah beberapa kali login,Akun & Akses
Internet fakultas sangat lambat,Jaringan
Saya melaporkan bahwa Saya mengalami kendala pada halaman akademik,Sistem Akademik
Saya melaporkan bahwa Akun kampus saya terkunci,Akun & Akses
Koneksi WiFi di gedung A terputus terus,Jaringan
Word di komputer fakultas mengalami error,Software
Aplikasi di gedung A tidak merespons,Software
"Tolong, Akses akun saya bermasalah",Akun & Akses
"Mohon bantuan, Internet di kampus tiba tiba mati",Jaringan
"Tolong, Browser di lantai 2 sering crash",Software
"Tolong, Akun kampus saya terkunci",Akun & Akses
"Permisi, Saya lupa kata sandi akun",Akun & Akses
"Tolong, Saya lupa kata sandi akun",Akun & Akses
"Mohon bantuan, PC kampus sering restart sendiri",Hardware
Saya melaporkan bahwa Program di laboratorium komputer mengalami crash,Software
"Mohon bantuan, Kecepatan internet di kampus menurun",Jaringan
"Permisi, Saya membutuhkan bantuan untuk reset password",Akun & Akses
"Mohon bantuan, Akses akun saya bermasalah",Akun & Akses
"Permisi, Keyboard komputer ruang kelas tidak berfungsi",Hardware
"Mohon bantuan, SIAKAD tidak bisa dibuka saat saya mengakses portal",Sistem Akademik
Aplikasi pada komputer gedung A tidak dapat dijalankan,Software
Saya tidak bisa masuk ke portal menggunakan akun saya,Akun & Akses
"Permisi, Microsoft Office di gedung perkuliahan mengalami masalah",Software
"Permisi, Saya gagal masuk menggunakan akun kampus",Akun & Akses
Saya melaporkan bahwa Informasi jadwal kuliah tidak tersedia di SIAKAD,Sistem Akademik
Saya melaporkan bahwa WiFi laboratorium komputer tidak bisa digunakan,Jaringan
"Tolong, Aplikasi pada komputer ruang dosen tidak dapat dijalankan",Software
Akun kampus saya terkunci,Akun & Akses
"Tolong, Perangkat saya tidak bisa terhubung ke jaringan lantai 2",Jaringan
Monitor di fakultas tidak menampilkan gambar,Hardware
WiFi di fakultas tidak mendapatkan koneksi,Jaringan
Program komputer gedung A gagal dijalankan,Software
"Mohon bantuan, Saya tidak mendapat akses internet melalui WiFi gedung B",Jaringan
Saya melaporkan bahwa Akun mahasiswa saya tidak dapat digunakan,Akun & Akses
Saya melaporkan bahwa Data mata kuliah saya tidak tampil di SIAKAD,Sistem Akademik
"Tolong, Internet di ruang dosen tiba tiba mati",Jaringan
Saya melaporkan bahwa Kecepatan internet di perpustakaan menurun,Jaringan
WiFi gedung A tidak bisa digunakan,Jaringan
"Permisi, Koneksi jaringan ruang kelas sering terputus",Jaringan
"Permisi, Password akun saya ditolak oleh sistem",Akun & Akses
"Mohon bantuan, Jaringan internet kampus tidak stabil",Jaringan
"Mohon bantuan, Perangkat saya tidak bisa terhubung ke jaringan kampus",Jaringan
"Permisi, Portal akademik berhenti ketika saya membuka halaman KRS",Sistem Akademik
Saya melaporkan bahwa Portal akademik mengalami error saat saya mengakses portal,Sistem Akademik
Saya melaporkan bahwa Saya tidak bisa login ke akun kampus,Akun & Akses
"Mohon bantuan, Saya mengalami kendala pada halaman akademik",Sistem Akademik
"Mohon bantuan, Saya kesulitan mengakses internet dari gedung B",Jaringan
Saya melaporkan bahwa Daftar mata kuliah pada SIAKAD tidak muncul,Sistem Akademik
"Mohon bantuan, Saya tidak dapat terhubung ke WiFi kampus",Jaringan
"Tolong, Komputer lantai 2 tidak mau menyala",Hardware
"Permisi, Kecepatan internet di gedung perkuliahan menurun",Jaringan
Saya melaporkan bahwa Saya lupa kata sandi akun,Akun & Akses
"Tolong, Komputer lantai 2 tidak dapat dinyalakan",Hardware
Saya melaporkan bahwa Aplikasi Zoom di perpustakaan tidak berjalan,Software
"Tolong, Hak akses saya ke sistem belum tersedia",Akun & Akses
"Tolong, Kecepatan internet di ruang dosen menurun",Jaringan
"Mohon bantuan, Laptop saya gagal tersambung ke jaringan gedung B",Jaringan
"Mohon bantuan, Akun saya terkunci setelah beberapa kali login",Akun & Akses
Koneksi internet di gedung A sering gagal,Jaringan
Komputer gedung A mengeluarkan suara aneh,Hardware
"Tolong, Sistem operasi komputer ruang dosen mengalami error",Software
Saya melaporkan bahwa Windows di komputer laboratorium komputer menampilkan pesan error,Software
"Tolong, Browser komputer ruang dosen tidak merespons",Software
Saya melaporkan bahwa Proyektor di perpustakaan tidak menyala,Hardware
"Permisi, Monitor komputer gedung perkuliahan tampak blank",Hardware
Browser di fakultas sering crash,Software
